_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
19435,ET,69,Outside City Limits,Jan-11
19436,ET,341,Toronto,Jan-11
19437,NY,141,Outside City Limits,Jan-11
19438,NY,540,Toronto,Jan-11
19439,SC,129,Outside City Limits,Jan-11
19440,SC,545,Toronto,Jan-11
19441,TO,297,Toronto,Jan-11
19442,ET,83,Outside City Limits,Feb-11
19443,ET,224,Toronto,Feb-11
19444,NY,81,Outside City Limits,Feb-11
19445,NY,307,Toronto,Feb-11
19446,SC,68,Outside City Limits,Feb-11
19447,SC,339,Toronto,Feb-11
19448,TO,223,Toronto,Feb-11
19449,ET,116,Outside City Limits,Mar-11
19450,ET,233,Toronto,Mar-11
19451,NY,118,Outside City Limits,Mar-11
19452,NY,537,Toronto,Mar-11
19453,SC,117,Outside City Limits,Mar-11
19454,SC,283,Toronto,Mar-11
19455,TO,185,Toronto,Mar-11
19456,ET,83,Outside City Limits,Apr-11
19457,ET,290,Toronto,Apr-11
19458,NY,87,Outside City Limits,Apr-11
19459,NY,553,Toronto,Apr-11
19460,SC,85,Outside City Limits,Apr-11
19461,SC,372,Toronto,Apr-11
19462,TO,42,Toronto,Apr-11
19463,ET,57,Outside City Limits,May-11
19464,ET,176,Toronto,May-11
19465,NY,92,Outside City Limits,May-11
19466,NY,480,Toronto,May-11
19467,SC,51,Outside City Limits,May-11
19468,SC,253,Toronto,May-11
19469,ET,30,Outside City Limits,Jun-11
19470,ET,239,Toronto,Jun-11
19471,NY,107,Outside City Limits,Jun-11
19472,NY,479,Toronto,Jun-11
19473,SC,84,Outside City Limits,Jun-11
19474,SC,518,Toronto,Jun-11
19475,ET,40,Outside City Limits,Jul-11
19476,ET,317,Toronto,Jul-11
19477,NY,50,Outside City Limits,Jul-11
19478,NY,315,Toronto,Jul-11
19479,SC,43,Outside City Limits,Jul-11
19480,SC,312,Toronto,Jul-11
19481,TO,13,Outside City Limits,Jul-11
19482,TO,51,Toronto,Jul-11
19483,ET,169,Outside City Limits,Aug-11
19484,ET,165,Toronto,Aug-11
19485,NY,117,Outside City Limits,Aug-11
19486,NY,389,Toronto,Aug-11
19487,SC,93,Outside City Limits,Aug-11
19488,SC,320,Toronto,Aug-11
19489,TO,4,Outside City Limits,Aug-11
19490,TO,273,Toronto,Aug-11
19491,ET,74,Outside City Limits,Sep-11
19492,ET,176,Toronto,Sep-11
19493,NY,133,Outside City Limits,Sep-11
19494,NY,610,Toronto,Sep-11
19495,SC,58,Outside City Limits,Sep-11
19496,SC,394,Toronto,Sep-11
19497,ET,85,Outside City Limits,Oct-11
19498,ET,245,Toronto,Oct-11
19499,NY,123,Outside City Limits,Oct-11
19500,NY,498,Toronto,Oct-11
19501,SC,57,Outside City Limits,Oct-11
19502,SC,492,Toronto,Oct-11
19503,TO,5,Toronto,Oct-11
19504,ET,70,Outside City Limits,Nov-11
19505,ET,250,Toronto,Nov-11
19506,NY,104,Outside City Limits,Nov-11
19507,NY,458,Toronto,Nov-11
19508,SC,73,Outside City Limits,Nov-11
19509,SC,378,Toronto,Nov-11
19510,ET,68,Outside City Limits,Dec-11
19511,ET,174,Toronto,Dec-11
19512,NY,110,Outside City Limits,Dec-11
19513,NY,420,Toronto,Dec-11
19514,SC,94,Outside City Limits,Dec-11
19515,SC,456,Toronto,Dec-11
19516,ET,127,Outside City Limits,Jan-12
19517,ET,396,Toronto,Jan-12
19518,NY,81,Outside City Limits,Jan-12
19519,NY,424,Toronto,Jan-12
19520,SC,47,Outside City Limits,Jan-12
19521,SC,432,Toronto,Jan-12
19522,TO,97,Toronto,Jan-12
19523,ET,58,Outside City Limits,Feb-12
19524,ET,362,Toronto,Feb-12
19525,NY,62,Outside City Limits,Feb-12
19526,NY,304,Toronto,Feb-12
19527,SC,137,Outside City Limits,Feb-12
19528,SC,508,Toronto,Feb-12
19529,TO,12,Toronto,Feb-12
19530,ET,179,Outside City Limits,Mar-12
19531,ET,493,Toronto,Mar-12
19532,NY,39,Outside City Limits,Mar-12
19533,NY,271,Toronto,Mar-12
19534,SC,75,Outside City Limits,Mar-12
19535,SC,432,Toronto,Mar-12
19536,ET,188,Outside City Limits,Apr-12
19537,ET,452,Toronto,Apr-12
19538,NY,14,Outside City Limits,Apr-12
19539,NY,214,Toronto,Apr-12
19540,SC,23,Outside City Limits,Apr-12
19541,SC,254,Toronto,Apr-12
19542,ET,137,Outside City Limits,May-12
19543,ET,658,Toronto,May-12
19544,NY,23,Outside City Limits,May-12
19545,NY,245,Toronto,May-12
19546,SC,67,Outside City Limits,May-12
19547,SC,359,Toronto,May-12
19548,ET,172,Outside City Limits,Jun-12
19549,ET,521,Toronto,Jun-12
19550,NY,55,Outside City Limits,Jun-12
19551,NY,138,Toronto,Jun-12
19552,SC,117,Outside City Limits,Jun-12
19553,SC,561,Toronto,Jun-12
19554,ET,105,Outside City Limits,Jul-12
19555,ET,264,Toronto,Jul-12
19556,NY,70,Outside City Limits,Jul-12
19557,NY,387,Toronto,Jul-12
19558,SC,52,Outside City Limits,Jul-12
19559,SC,293,Toronto,Jul-12
19560,ET,99,Outside City Limits,Aug-12
19561,ET,437,Toronto,Aug-12
19562,NY,77,Outside City Limits,Aug-12
19563,NY,286,Toronto,Aug-12
19564,SC,46,Outside City Limits,Aug-12
19565,SC,142,Toronto,Aug-12
19566,ET,106,Outside City Limits,Sep-12
19567,ET,425,Toronto,Sep-12
19568,NY,84,Outside City Limits,Sep-12
19569,NY,380,Toronto,Sep-12
19570,SC,115,Outside City Limits,Sep-12
19571,SC,590,Toronto,Sep-12
19572,ET,103,Outside City Limits,Oct-12
19573,ET,451,Toronto,Oct-12
19574,NY,107,Outside City Limits,Oct-12
19575,NY,377,Toronto,Oct-12
19576,SC,84,Outside City Limits,Oct-12
19577,SC,473,Toronto,Oct-12
19578,ET,85,Outside City Limits,Nov-12
19579,ET,293,Toronto,Nov-12
19580,NY,88,Outside City Limits,Nov-12
19581,NY,314,Toronto,Nov-12
19582,SC,79,Outside City Limits,Nov-12
19583,SC,434,Toronto,Nov-12
19584,ET,82,Outside City Limits,Dec-12
19585,ET,636,Toronto,Dec-12
19586,NY,73,Outside City Limits,Dec-12
19587,NY,311,Toronto,Dec-12
19588,SC,36,Outside City Limits,Dec-12
19589,SC,281,Toronto,Dec-12
19590,ET,283,Outside City Limits,Jan-13
19591,ET,631,Toronto,Jan-13
19592,NY,117,Outside City Limits,Jan-13
19593,NY,418,Toronto,Jan-13
19594,SC,78,Outside City Limits,Jan-13
19595,SC,582,Toronto,Jan-13
19596,ET,103,Outside City Limits,Feb-13
19597,ET,434,Toronto,Feb-13
19598,NY,54,Outside City Limits,Feb-13
19599,NY,243,Toronto,Feb-13
19600,SC,59,Outside City Limits,Feb-13
19601,SC,420,Toronto,Feb-13
19602,ET,94,Outside City Limits,Mar-13
19603,ET,312,Toronto,Mar-13
19604,NY,80,Outside City Limits,Mar-13
19605,NY,234,Toronto,Mar-13
19606,SC,95,Outside City Limits,Mar-13
19607,SC,416,Toronto,Mar-13
19608,ET,163,Outside City Limits,Apr-13
19609,ET,669,Toronto,Apr-13
19610,NY,47,Outside City Limits,Apr-13
19611,NY,226,Toronto,Apr-13
19612,SC,76,Outside City Limits,Apr-13
19613,SC,501,Toronto,Apr-13
19614,ET,82,Outside City Limits,May-13
19615,ET,435,Toronto,May-13
19616,NY,81,Outside City Limits,May-13
19617,NY,276,Toronto,May-13
19618,SC,86,Outside City Limits,May-13
19619,SC,432,Toronto,May-13
19620,ET,93,Outside City Limits,Jun-13
19621,ET,506,Toronto,Jun-13
19622,NY,66,Outside City Limits,Jun-13
19623,NY,236,Toronto,Jun-13
19624,SC,54,Outside City Limits,Jun-13
19625,SC,255,Toronto,Jun-13
19626,ET,193,Outside City Limits,Jul-13
19627,ET,732,Toronto,Jul-13
19628,NY,55,Outside City Limits,Jul-13
19629,NY,276,Toronto,Jul-13
19630,SC,58,Outside City Limits,Jul-13
19631,SC,346,Toronto,Jul-13
19632,ET,116,Outside City Limits,Aug-13
19633,ET,379,Toronto,Aug-13
19634,NY,83,Outside City Limits,Aug-13
19635,NY,290,Toronto,Aug-13
19636,SC,33,Outside City Limits,Aug-13
19637,SC,217,Toronto,Aug-13
19638,ET,150,Outside City Limits,Sep-13
19639,ET,449,Toronto,Sep-13
19640,NY,109,Outside City Limits,Sep-13
19641,NY,487,Toronto,Sep-13
19642,SC,83,Outside City Limits,Sep-13
19643,SC,338,Toronto,Sep-13
19644,ET,111,Outside City Limits,Oct-13
19645,ET,414,Toronto,Oct-13
19646,NY,98,Outside City Limits,Oct-13
19647,NY,390,Toronto,Oct-13
19648,SC,82,Outside City Limits,Oct-13
19649,SC,433,Toronto,Oct-13
19650,ET,99,Outside City Limits,Nov-13
19651,ET,338,Toronto,Nov-13
19652,NY,60,Outside City Limits,Nov-13
19653,NY,277,Toronto,Nov-13
19654,SC,86,Outside City Limits,Nov-13
19655,SC,398,Toronto,Nov-13
19656,ET,66,Outside City Limits,Dec-13
19657,ET,432,Toronto,Dec-13
19658,NY,95,Outside City Limits,Dec-13
19659,NY,331,Toronto,Dec-13
19660,SC,81,Outside City Limits,Dec-13
19661,SC,318,Toronto,Dec-13
19662,ET,215,Outside City Limits,Jan-14
19663,ET,569,Toronto,Jan-14
19664,NY,149,Outside City Limits,Jan-14
19665,NY,503,Toronto,Jan-14
19666,SC,104,Outside City Limits,Jan-14
19667,SC,555,Toronto,Jan-14
19668,ET,136,Outside City Limits,Feb-14
19669,ET,379,Toronto,Feb-14
19670,NY,93,Outside City Limits,Feb-14
19671,NY,381,Toronto,Feb-14
19672,SC,66,Outside City Limits,Feb-14
19673,SC,335,Toronto,Feb-14
19674,ET,112,Outside City Limits,Mar-14
19675,ET,394,Toronto,Mar-14
19676,NY,158,Outside City Limits,Mar-14
19677,NY,618,Toronto,Mar-14
19678,SC,90,Outside City Limits,Mar-14
19679,SC,410,Toronto,Mar-14
19680,ET,112,Outside City Limits,Apr-14
