X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
19435,ET,69,Outside City Limits,2011-01
19436,ET,341,Toronto,2011-01
19437,NY,141,Outside City Limits,2011-01
19438,NY,540,Toronto,2011-01
19439,SC,129,Outside City Limits,2011-01
19440,SC,545,Toronto,2011-01
19441,TO,297,Toronto,2011-01
19442,ET,83,Outside City Limits,2011-02
19443,ET,224,Toronto,2011-02
19444,NY,81,Outside City Limits,2011-02
19445,NY,307,Toronto,2011-02
19446,SC,68,Outside City Limits,2011-02
19447,SC,339,Toronto,2011-02
19448,TO,223,Toronto,2011-02
19449,ET,116,Outside City Limits,2011-03
19450,ET,233,Toronto,2011-03
19451,NY,118,Outside City Limits,2011-03
19452,NY,537,Toronto,2011-03
19453,SC,117,Outside City Limits,2011-03
19454,SC,283,Toronto,2011-03
19455,TO,185,Toronto,2011-03
19456,ET,83,Outside City Limits,2011-04
19457,ET,290,Toronto,2011-04
19458,NY,87,Outside City Limits,2011-04
19459,NY,553,Toronto,2011-04
19460,SC,85,Outside City Limits,2011-04
19461,SC,372,Toronto,2011-04
19462,TO,42,Toronto,2011-04
19463,ET,57,Outside City Limits,2011-05
19464,ET,176,Toronto,2011-05
19465,NY,92,Outside City Limits,2011-05
19466,NY,480,Toronto,2011-05
19467,SC,51,Outside City Limits,2011-05
19468,SC,253,Toronto,2011-05
19469,ET,30,Outside City Limits,2011-06
19470,ET,239,Toronto,2011-06
19471,NY,107,Outside City Limits,2011-06
19472,NY,479,Toronto,2011-06
19473,SC,84,Outside City Limits,2011-06
19474,SC,518,Toronto,2011-06
19475,ET,40,Outside City Limits,2011-07
19476,ET,317,Toronto,2011-07
19477,NY,50,Outside City Limits,2011-07
19478,NY,315,Toronto,2011-07
19479,SC,43,Outside City Limits,2011-07
19480,SC,312,Toronto,2011-07
19481,TO,13,Outside City Limits,2011-07
19482,TO,51,Toronto,2011-07
19483,ET,169,Outside City Limits,2011-08
19484,ET,165,Toronto,2011-08
19485,NY,117,Outside City Limits,2011-08
19486,NY,389,Toronto,2011-08
19487,SC,93,Outside City Limits,2011-08
19488,SC,320,Toronto,2011-08
19489,TO,4,Outside City Limits,2011-08
19490,TO,273,Toronto,2011-08
19491,ET,74,Outside City Limits,2011-09
19492,ET,176,Toronto,2011-09
19493,NY,133,Outside City Limits,2011-09
19494,NY,610,Toronto,2011-09
19495,SC,58,Outside City Limits,2011-09
19496,SC,394,Toronto,2011-09
19497,ET,85,Outside City Limits,2011-10
19498,ET,245,Toronto,2011-10
19499,NY,123,Outside City Limits,2011-10
19500,NY,498,Toronto,2011-10
19501,SC,57,Outside City Limits,2011-10
19502,SC,492,Toronto,2011-10
19503,TO,5,Toronto,2011-10
19504,ET,70,Outside City Limits,2011-11
19505,ET,250,Toronto,2011-11
19506,NY,104,Outside City Limits,2011-11
19507,NY,458,Toronto,2011-11
19508,SC,73,Outside City Limits,2011-11
19509,SC,378,Toronto,2011-11
19510,ET,68,Outside City Limits,2011-12
19511,ET,174,Toronto,2011-12
19512,NY,110,Outside City Limits,2011-12
19513,NY,420,Toronto,2011-12
19514,SC,94,Outside City Limits,2011-12
19515,SC,456,Toronto,2011-12
19516,ET,127,Outside City Limits,2012-01
19517,ET,396,Toronto,2012-01
19518,NY,81,Outside City Limits,2012-01
19519,NY,424,Toronto,2012-01
19520,SC,47,Outside City Limits,2012-01
19521,SC,432,Toronto,2012-01
19522,TO,97,Toronto,2012-01
19523,ET,58,Outside City Limits,2012-02
19524,ET,362,Toronto,2012-02
19525,NY,62,Outside City Limits,2012-02
19526,NY,304,Toronto,2012-02
19527,SC,137,Outside City Limits,2012-02
19528,SC,508,Toronto,2012-02
19529,TO,12,Toronto,2012-02
19530,ET,179,Outside City Limits,2012-03
19531,ET,493,Toronto,2012-03
19532,NY,39,Outside City Limits,2012-03
19533,NY,271,Toronto,2012-03
19534,SC,75,Outside City Limits,2012-03
19535,SC,432,Toronto,2012-03
19536,ET,188,Outside City Limits,2012-04
19537,ET,452,Toronto,2012-04
19538,NY,14,Outside City Limits,2012-04
19539,NY,214,Toronto,2012-04
19540,SC,23,Outside City Limits,2012-04
19541,SC,254,Toronto,2012-04
19542,ET,137,Outside City Limits,2012-05
19543,ET,658,Toronto,2012-05
19544,NY,23,Outside City Limits,2012-05
19545,NY,245,Toronto,2012-05
19546,SC,67,Outside City Limits,2012-05
19547,SC,359,Toronto,2012-05
19548,ET,172,Outside City Limits,2012-06
19549,ET,521,Toronto,2012-06
19550,NY,55,Outside City Limits,2012-06
19551,NY,138,Toronto,2012-06
19552,SC,117,Outside City Limits,2012-06
19553,SC,561,Toronto,2012-06
19554,ET,105,Outside City Limits,2012-07
19555,ET,264,Toronto,2012-07
19556,NY,70,Outside City Limits,2012-07
19557,NY,387,Toronto,2012-07
19558,SC,52,Outside City Limits,2012-07
19559,SC,293,Toronto,2012-07
19560,ET,99,Outside City Limits,2012-08
19561,ET,437,Toronto,2012-08
19562,NY,77,Outside City Limits,2012-08
19563,NY,286,Toronto,2012-08
19564,SC,46,Outside City Limits,2012-08
19565,SC,142,Toronto,2012-08
19566,ET,106,Outside City Limits,2012-09
19567,ET,425,Toronto,2012-09
19568,NY,84,Outside City Limits,2012-09
19569,NY,380,Toronto,2012-09
19570,SC,115,Outside City Limits,2012-09
19571,SC,590,Toronto,2012-09
19572,ET,103,Outside City Limits,2012-10
19573,ET,451,Toronto,2012-10
19574,NY,107,Outside City Limits,2012-10
19575,NY,377,Toronto,2012-10
19576,SC,84,Outside City Limits,2012-10
19577,SC,473,Toronto,2012-10
19578,ET,85,Outside City Limits,2012-11
19579,ET,293,Toronto,2012-11
19580,NY,88,Outside City Limits,2012-11
19581,NY,314,Toronto,2012-11
19582,SC,79,Outside City Limits,2012-11
19583,SC,434,Toronto,2012-11
19584,ET,82,Outside City Limits,2012-12
19585,ET,636,Toronto,2012-12
19586,NY,73,Outside City Limits,2012-12
19587,NY,311,Toronto,2012-12
19588,SC,36,Outside City Limits,2012-12
19589,SC,281,Toronto,2012-12
19590,ET,283,Outside City Limits,2013-01
19591,ET,631,Toronto,2013-01
19592,NY,117,Outside City Limits,2013-01
19593,NY,418,Toronto,2013-01
19594,SC,78,Outside City Limits,2013-01
19595,SC,582,Toronto,2013-01
19596,ET,103,Outside City Limits,2013-02
19597,ET,434,Toronto,2013-02
19598,NY,54,Outside City Limits,2013-02
19599,NY,243,Toronto,2013-02
19600,SC,59,Outside City Limits,2013-02
19601,SC,420,Toronto,2013-02
19602,ET,94,Outside City Limits,2013-03
19603,ET,312,Toronto,2013-03
19604,NY,80,Outside City Limits,2013-03
19605,NY,234,Toronto,2013-03
19606,SC,95,Outside City Limits,2013-03
19607,SC,416,Toronto,2013-03
19608,ET,163,Outside City Limits,2013-04
19609,ET,669,Toronto,2013-04
19610,NY,47,Outside City Limits,2013-04
19611,NY,226,Toronto,2013-04
19612,SC,76,Outside City Limits,2013-04
19613,SC,501,Toronto,2013-04
19614,ET,82,Outside City Limits,2013-05
19615,ET,435,Toronto,2013-05
19616,NY,81,Outside City Limits,2013-05
19617,NY,276,Toronto,2013-05
19618,SC,86,Outside City Limits,2013-05
19619,SC,432,Toronto,2013-05
19620,ET,93,Outside City Limits,2013-06
19621,ET,506,Toronto,2013-06
19622,NY,66,Outside City Limits,2013-06
19623,NY,236,Toronto,2013-06
19624,SC,54,Outside City Limits,2013-06
19625,SC,255,Toronto,2013-06
19626,ET,193,Outside City Limits,2013-07
19627,ET,732,Toronto,2013-07
19628,NY,55,Outside City Limits,2013-07
19629,NY,276,Toronto,2013-07
19630,SC,58,Outside City Limits,2013-07
19631,SC,346,Toronto,2013-07
19632,ET,116,Outside City Limits,2013-08
19633,ET,379,Toronto,2013-08
19634,NY,83,Outside City Limits,2013-08
19635,NY,290,Toronto,2013-08
19636,SC,33,Outside City Limits,2013-08
19637,SC,217,Toronto,2013-08
19638,ET,150,Outside City Limits,2013-09
19639,ET,449,Toronto,2013-09
19640,NY,109,Outside City Limits,2013-09
19641,NY,487,Toronto,2013-09
19642,SC,83,Outside City Limits,2013-09
19643,SC,338,Toronto,2013-09
19644,ET,111,Outside City Limits,2013-10
19645,ET,414,Toronto,2013-10
19646,NY,98,Outside City Limits,2013-10
19647,NY,390,Toronto,2013-10
19648,SC,82,Outside City Limits,2013-10
19649,SC,433,Toronto,2013-10
19650,ET,99,Outside City Limits,2013-11
19651,ET,338,Toronto,2013-11
19652,NY,60,Outside City Limits,2013-11
19653,NY,277,Toronto,2013-11
19654,SC,86,Outside City Limits,2013-11
19655,SC,398,Toronto,2013-11
19656,ET,66,Outside City Limits,2013-12
19657,ET,432,Toronto,2013-12
19658,NY,95,Outside City Limits,2013-12
19659,NY,331,Toronto,2013-12
19660,SC,81,Outside City Limits,2013-12
19661,SC,318,Toronto,2013-12
